,City,Country,Date,Latitude,Longitude,Humidity,Max Temp,Wind Speed,Cloudiness
0,Galesong,ID,1584908956,-5.32,119.37,100,75.2,2.24,20
1,Mar del Plata,AR,1584908899,-38.0,-57.56,42,82.4,6.93,54
2,Grimshaw,CA,1584908956,56.18,-117.6,55,33.8,5.82,90
3,Nome,US,1584908956,64.5,-165.41,85,21.2,4.7,90
4,Albany,US,1584908956,42.6,-73.97,25,42.01,6.93,20
5,Barrow,US,1584908957,71.29,-156.79,76,-9.4,10.29,1
6,Nordfjordeid,NO,1584908957,61.91,5.99,79,41.0,28.86,75
7,Carnarvon,AU,1584908957,-24.87,113.63,74,78.8,8.05,0
8,Lebu,CL,1584908957,-37.62,-73.65,55,64.45,9.86,8
9,Praia,CV,1584908957,14.92,-23.51,68,71.6,23.04,75
10,Mataura,NZ,1584908957,-46.19,168.86,90,48.99,3.0,100
11,Rikitea,PF,1584908957,-23.12,-134.97,71,78.13,0.72,14
12,Dudinka,RU,1584908957,69.41,86.18,75,-18.4,8.95,0
13,Hong Kong,HK,1584908957,22.29,114.16,88,75.0,4.7,0
14,East London,ZA,1584908957,-33.02,27.91,86,76.15,13.71,45
15,Ribeira Grande,PT,1584908957,38.52,-28.7,62,57.2,8.05,20
16,Tiznit Province,MA,1584908957,29.58,-9.5,82,49.51,7.9,77
17,Haines Junction,CA,1584908957,60.75,-137.51,71,19.99,9.91,49
18,Butaritari,KI,1584908957,3.07,172.79,79,83.53,15.97,22
19,Port-Gentil,GA,1584908958,-0.72,8.78,83,82.63,14.18,55
20,Naliya,IN,1584908958,23.27,68.83,85,71.11,5.28,90
21,Norman Wells,CA,1584908958,65.28,-126.83,85,21.2,6.93,90
22,Bilibino,RU,1584908958,68.05,166.44,94,5.59,3.74,100
23,Meulaboh,ID,1584908958,4.14,96.13,78,82.09,6.62,100
24,Kamen'-Rybolov,RU,1584908958,44.75,132.04,60,30.43,9.15,15
25,Havre-St-Pierre,CA,1584908958,50.23,-63.6,38,24.8,13.87,1
26,Vanimo,PG,1584908958,-2.67,141.3,82,81.37,6.73,100
27,Imbituba,BR,1584908944,-28.24,-48.67,69,78.8,12.75,40
28,Omaruru,NA,1584908958,-21.43,15.93,42,73.09,7.16,12
29,Ushuaia,AR,1584908898,-54.8,-68.3,62,53.6,14.99,100
30,Bengkulu,ID,1584908958,-3.8,102.27,91,72.73,3.49,100
31,Wahiawā,US,1584908958,21.5,-158.02,73,80.6,11.41,20
32,Punta Arenas,CL,1584908901,-53.15,-70.92,71,55.4,4.7,75
33,Saint George,US,1584908959,37.1,-113.58,44,62.01,2.62,1
34,Avarua,CK,1584908959,-21.21,-159.78,74,82.4,8.05,93
35,Malbork,PL,1584908959,54.04,19.03,43,37.0,6.93,40
36,Busselton,AU,1584908959,-33.65,115.33,59,63.0,13.24,0
37,Cherskiy,RU,1584908959,68.75,161.3,94,9.55,9.13,100
38,Cape Town,ZA,1584908334,-33.93,18.42,77,66.99,14.99,34
39,Kapaa,US,1584908959,22.08,-159.32,74,78.8,14.99,40
40,Yangi Marg`ilon,UZ,1584908959,40.43,71.72,50,55.4,2.24,100
41,Upernavik,GL,1584908959,72.79,-56.15,88,-9.35,6.51,0
42,Hobart,AU,1584908843,-42.88,147.33,62,51.8,4.7,75
43,Tiksi,RU,1584908959,71.69,128.87,84,-9.53,8.08,0
44,Jalu,LY,1584908959,29.03,21.55,32,70.39,10.16,100
45,Mezen',RU,1584908959,65.85,44.24,93,21.07,11.23,80
46,Icó,BR,1584908959,-6.4,-38.86,82,78.67,2.26,46
47,Mafinga,TZ,1584908960,-7.25,35.07,93,67.69,1.99,100
48,Vaini,TO,1584908960,-21.2,-175.2,88,78.8,8.05,75
49,Thompson,CA,1584908960,55.74,-97.86,87,32.0,11.41,90
50,New Norfolk,AU,1584908960,-42.78,147.06,62,51.8,4.7,75
51,Chokurdakh,RU,1584908960,70.63,147.92,69,-6.47,2.42,58
52,Abadan,TM,1584908960,38.05,58.21,100,48.2,2.24,90
53,Codrington,AU,1584908960,-38.27,141.97,71,57.61,14.97,59
54,Praxédis Guerrero,MX,1584908960,31.37,-106.02,15,72.0,10.29,1
55,Naryan-Mar,RU,1584908960,67.67,53.09,92,16.03,14.2,79
56,Pampa,US,1584908960,35.54,-100.96,26,71.6,13.87,1
57,Sitka,US,1584908960,57.05,-135.33,70,42.8,17.22,75
